run,round,mode,f1,recall,fpr
glfl_k2,42,federated,85.9161,75.3096,0.0000
glfl_k2,43,federated,85.9161,75.3096,0.0000
glfl_k2,44,federated,85.9161,75.3096,0.0000
glfl_k2,45,federated,85.9161,75.3096,0.0000
glfl_k2,46,federated,85.9161,75.3096,0.0000
glfl_k2,47,federated,85.9161,75.3096,0.0000
glfl_k2,48,federated,85.9161,75.3096,0.0000
glfl_k2,49,federated,85.9161,75.3096,0.0000
glfl_k2,50,federated,85.9161,75.3096,0.0000
glfl_k2,51,federated,85.3764,74.4841,0.0000
glfl_k2,52,federated,85.3764,74.4841,0.0000
glfl_k2,53,federated,85.3764,74.4841,0.0000
glfl_k2,54,federated,85.3764,74.4841,0.0000
glfl_k2,55,federated,85.3764,74.4841,0.0000
glfl_k2,56,federated,85.3764,74.4841,0.0000
glfl_k2,57,federated,85.3764,74.4841,0.0000
glfl_k2,58,federated,85.3764,74.4841,0.0000
glfl_k2,59,federated,85.3764,74.4841,0.0000
glfl_k2,60,federated,85.3764,74.4841,0.0000
glfl_k2,61,federated,85.3764,74.4841,0.0000
glfl_k2,62,federated,85.3764,74.4841,0.0000
glfl_k2,63,federated,85.3764,74.4841,0.0000
glfl_k2,64,federated,85.3764,74.4841,0.0000
glfl_k2,65,federated,85.3764,74.4841,0.0000
glfl_k2,66,federated,85.3764,74.4841,0.0000
glfl_k2,67,federated,85.3764,74.4841,0.0000
glfl_k2,68,federated,85.3764,74.4841,0.0000
glfl_k2,69,federated,85.3764,74.4841,0.0000
glfl_k2,70,federated,85.3764,74.4841,0.0000
glfl_k2,71,federated,85.3764,74.4841,0.0000
glfl_k2,72,federated,85.3764,74.4841,0.0000
glfl_k2,73,federated,85.3764,74.4841,0.0000
glfl_k2,74,federated,85.3764,74.4841,0.0000
glfl_k2,75,federated,85.3764,74.4841,0.0000
glfl_k2,76,federated,85.3764,74.4841,0.0000
glfl_k2,77,federated,85.3764,74.4841,0.0000
glfl_k2,78,federated,85.3764,74.4841,0.0000
glfl_k2,79,federated,85.3764,74.4841,0.0000
glfl_k2,80,federated,85.3764,74.4841,0.0000
glfl_k2,81,federated,53.2396,36.2765,0.0000
glfl_k2,82,federated,53.2396,36.2765,0.0000
glfl_k2,83,federated,53.2396,36.2765,0.0000
glfl_k2,84,federated,53.2396,36.2765,0.0000
glfl_k2,85,federated,53.2396,36.2765,0.0000
glfl_k2,86,federated,53.2396,36.2765,0.0000
glfl_k2,87,federated,53.2396,36.2765,0.0000
glfl_k2,88,federated,53.2396,36.2765,0.0000
glfl_k2,89,federated,53.2396,36.2765,0.0000
glfl_k2,90,federated,53.2396,36.2765,0.0000
